scenario,chemin,cle
s1,prologue[0],s1/prologue
s1,data-centers.partenaires-sud[0],s1/partenaires-sud
s1,data-centers.partenaires-locaux[0],s1/partenaires-locaux
s1,data-centers.location[0],s1/location
s1,data-centers.import-assemblage[0],s1/import-assemblage
s1,data-centers.conclusion[0],s1/data-centers-fin
s1,consommation.intro[1],s1/consommation-intro-2
s1,consommation.booster[0],s1/booster
s1,consommation.booster[1],s1/booster-2
s1,consommation.autre-projet[0],s1/autre-projet
s1,consommation.autre-projet[1],s1/autre-projet-2
s1,consommation.autre-projet[2],s1/autre-projet-3
s1,pour-qui.grand-public[0],s1/grand-public
s1,pour-qui.entreprises[0],s1/entreprises
s1,pour-qui.entreprises[1],s1/entreprises-2
s1,pour-qui.services-publics[0],s1/services-publics
s2,campagne.verite-alternative[0],s2/verite-alternative
s2,campagne.reguler-ia[0],s2/reguler-ia
s2,campagne.limiter-ia[0],s2/limiter-ia
s2,campagne.conclusion[0],s2/campagne-fin
s2,temps-des-choix.reseau-social-europeen[0],s2/reseau-social-europeen
s2,temps-des-choix.negocier-gafam[1],s2/negocier-gafam-2
s2,temps-des-choix.donnees-ouvertes[0],s2/donnees-ouvertes
s2,menace-etrangere.voie-democratique[0],s2/voie-democratique
s2,menace-etrangere.riposte[1],s2/riposte-2
s2,menace-etrangere.diplomatie[0],s2/diplomatie
s2,menace-etrangere.diplomatie[1],s2/diplomatie-2
s3,prologue[0],s3/prologue
s3,ceci-n-est-pas-une-biere.intro[1],s3/ceci-n-est-pas-une-biere-intro-2
s3,ceci-n-est-pas-une-biere.interdire-ia-art[0],s3/interdire-ia-art
s3,ceci-n-est-pas-une-biere.creer-cca[0],s3/creer-cca
s3,ceci-n-est-pas-une-biere.dedommager-brasseurs[1],s3/dedommager-brasseurs-2
s3,ceci-n-est-pas-une-biere.conclusion[0],s3/ceci-n-est-pas-une-biere-fin
s3,bonjour-dominique.integrer-dominique[0],s3/integrer-dominique
s3,bonjour-dominique.integrer-dominique[2],s3/integrer-dominique-3
s3,bonjour-dominique.interdire-ia-sante[0],s3/interdire-ia-sante
s3,bonjour-dominique.interdire-ia-sante[1],s3/interdire-ia-sante-2
s3,bonjour-dominique.recherche-ia-sante[0],s3/recherche-ia-sante
s3,bonjour-dominique.recherche-ia-sante[1],s3/recherche-ia-sante-2
s3,regarder-nos-souvenirs.intro[1],s3/regarder-nos-souvenirs-intro-2
s3,regarder-nos-souvenirs.accueillir-neooculus[0],s3/accueillir-neooculus-1
s3,regarder-nos-souvenirs.enqueter-neooculus[0],s3/enqueter-neooculus
s3,regarder-nos-souvenirs.enqueter-neooculus[1],s3/enqueter-neooculus-2
s3,regarder-nos-souvenirs.financer-transhumanisme[0],s3/financer-transhumanisme
s3,regarder-nos-souvenirs.financer-transhumanisme[1],s3/financer-transhumanisme-2
